"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"Western Europe","LUX","Luxembourg","HIB3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","98.0","98.0","98.0","98.0","96.0","93.0","91.0","88.0","86.0","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MDG","Madagascar","HIB3","75.0","74.0","77.0","69.0","73.0","74.0","70.0","73.0","71.0","77.0","52.0","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MWI","Malawi","HIB3","92.0","88.0","84.0","88.0","91.0","89.0","96.0","97.0","93.0","93.0","91.0","87.0","99.0","93.0","89.0","84.0","64.0","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MYS","Malaysia","HIB3","99.0","99.0","95.0","99.0","97.0","97.0","99.0","95.0","95.0","95.0","95.0","90.0","89.0","85.0","71.0","","","","","","","","","","","","","","","","","","","","","","","",""
"South Asia","MDV","Maldives","HIB3","99.0","99.0","99.0","99.0","99.0","58.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MLI","Mali","HIB3","71.0","70.0","69.0","67.0","66.0","64.0","65.0","66.0","73.0","73.0","74.0","44.0","16.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MLT","Malta","HIB3","97.0","98.0","97.0","97.0","99.0","99.0","99.0","96.0","76.0","73.0","72.0","72.0","83.0","83.0","83.0","84.0","84.0","84.0","93.0","91.0","89.0","64.0","38.0","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MHL","Marshall Islands","HIB3","72.0","65.0","58.0","70.0","65.0","66.0","67.0","80.0","92.0","99.0","92.0","83.0","60.0","69.0","46.0","70.0","80.0","45.0","45.0","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","MRT","Mauritania","HIB3","81.0","81.0","74.0","73.0","81.0","80.0","80.0","75.0","64.0","64.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MUS","Mauritius","HIB3","97.0","96.0","96.0","97.0","97.0","98.0","98.0","98.0","99.0","99.0","99.0","96.0","96.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","MEX","Mexico","HIB3","88.0","85.0","93.0","87.0","87.0","83.0","99.0","97.0","95.0","95.0","96.0","98.0","98.0","98.0","98.0","98.0","97.0","97.0","97.0","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","FSM","Micronesia (Federated States of)","HIB3","59.0","44.0","46.0","61.0","65.0","68.0","66.0","72.0","70.0","73.0","73.0","79.0","59.0","74.0","65.0","68.0","70.0","73.0","75.0","40.0","","","","","","","","","","","","","","","","","","",""
"Western Europe","MCO","Monaco","HIB3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MNG","Mongolia","HIB3","99.0","99.0","99.0","99.0","99.0","98.0","99.0","99.0","96.0","97.0","96.0","78.0","56.0","28.0","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MNE","Montenegro","HIB3","87.0","87.0","89.0","89.0","91.0","94.0","94.0","90.0","90.0","87.0","93.0","89.0","90.0","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","MAR","Morocco","HIB3","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","91.0","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MOZ","Mozambique","HIB3","80.0","80.0","80.0","80.0","79.0","78.0","76.0","76.0","74.0","74.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MMR","Myanmar","HIB3","91.0","89.0","90.0","89.0","88.0","75.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","NAM","Namibia","HIB3","89.0","88.0","85.0","92.0","88.0","89.0","84.0","82.0","83.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NRU","Nauru","HIB3","90.0","87.0","97.0","91.0","95.0","87.0","79.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
