"unicef_region","iso3","country","vaccine","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999","1998","1997","1996","1995","1994","1993","1992","1991","1990","1989","1988","1987","1986","1985","1984","1983","1982","1981","1980"
"East Asia & Pacific","FSM","Micronesia (Federated States of)","HEPBB","75.0","75.0","80.0","75.0","72.0","69.0","81.0","81.0","80.0","88.0","87.0","86.0","90.0","93.0","83.0","79.0","74.0","70.0","65.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","MCO","Monaco","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MNG","Mongolia","HEPBB","98.0","98.0","98.0","97.0","97.0","97.0","97.0","96.0","95.0","98.0","94.0","97.0","98.0","89.0","98.0","99.0","98.0","98.0","96.0","","","","","","","","","","","","","","","","","","","",""
"Eastern Europe & Central Asia","MNE","Montenegro","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","MAR","Morocco","HEPBB","36.0","33.0","22.0","14.0","14.0","14.0","9.0","4.0","20.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","MOZ","Mozambique","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","MMR","Myanmar","HEPBB","7.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Eastern & Southern Africa","NAM","Namibia","HEPBB","76.0","81.0","85.0","87.0","1.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NRU","Nauru","HEPBB","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","98.0","90.0","95.0","99.0","99.0","98.0","","","","","","","","","","","","","","","","","","","",""
"South Asia","NPL","Nepal","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Western Europe","NLD","Netherlands","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NZL","New Zealand","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Latin America & Caribbean","NIC","Nicaragua","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","NER","Niger","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"West & Central Africa","NGA","Nigeria","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","NIU","Niue","HEPBB","54.0","84.0","88.0","92.0","96.0","99.0","99.0","99.0","55.0","99.0","99.0","99.0","70.0","9.0","21.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
"Western Europe","NOR","Norway","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Middle East & North Africa","OMN","Oman","HEPBB","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","97.0","97.0","99.0","","","","","","","","","","","","","","","","","","","",""
"South Asia","PAK","Pakistan","HEPBB","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"East Asia & Pacific","PLW","Palau","HEPBB","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","99.0","67.0","99.0","98.0","99.0","99.0","99.0","99.0","99.0","99.0","","","","","","","","","","","","","","","","","","","",""
